,index,color_name,hex_string,colour_group,colour_group_type,source,hue,saturation,brightness,temperature
0,0,Navy Blue,000080,Blue,Primary,Sewguide,240,100,50.2,Cool
1,1,Navy Blue,000080,Blue,Primary,Eggradients,240,100,50.2,Cool
9,9,Cobalt Blue,0047ab,Azure,Tertiary,Eggradients,215,100,67.1,Cool
12,12,Baltic,006dae,Azure,Tertiary,Sewguide,202,100,68.2,Cool
13,13,True Blue,0073cf,Azure,Tertiary,Eggradients,207,100,81.2,Cool
14,14,Azure,007fff,Azure,Tertiary,Sewguide,210,100,100,Cool
15,15,Teal,008080,Spring Green,Tertiary,Eggradients,180,100,50.2,Cool
16,16,Peacocks Plume,0097a3,Azure,Tertiary,Sewguide,184,100,63.9,Cool
21,21,Cyan,00ffff,Cyan,Tertiary,Eggradients,180,100,100,Cool
23,23,Cerulean,02a4d3,Azure,Tertiary,Sewguide,193,99.1,82.7,Cool
24,24,Porcelain Blue,035589,Azure,Tertiary,Sewguide,203,97.8,53.7,Cool
25,25,Sky Blue,03bfff,Azure,Tertiary,Eggradients,195,98.8,100,Cool
27,27,Electric Blue,0592d0,Azure,Tertiary,Eggradients,198,97.6,81.6,Cool
32,32,Strong Bluish Green,0d8f82,Spring Green,Tertiary,ISCC-NBC System,174,90.9,56.1,Cool
33,33,Blue Green,0d98ba,Azure,Tertiary,Sewguide,192,93,72.9,Cool
34,34,Yale Blue,0e4d92,Azure,Tertiary,Sewguide,211,90.4,57.3,Cool
36,36,Sapphire,0f52ba,Azure,Tertiary,Sewguide,216,91.9,72.9,Cool
39,39,Mexican Pink,105bd1,Azure,Tertiary,Sewguide,217,92.3,82,Cool
42,42,Strong Greenish Blue,1385af,Azure,Tertiary,ISCC-NBC System,196,89.1,68.6,Cool
43,43,Vivid Bluish Green,13fcd5,Cyan,Tertiary,ISCC-NBC System,170,92.5,98.8,Cool
53,53,Capri Blue,1b5583,Azure,Tertiary,Sewguide,207,79.4,51.4,Cool
54,54,Vivid Blue,1b5cd7,Azure,Tertiary,ISCC-NBC System,219,87.4,84.3,Cool
55,55,Persian Blue,1c39bb,Blue,Primary,Sewguide,229,85,73.3,Cool
56,56,Gobelin Blue,1c3c91,Blue,Primary,Sewguide,224,80.7,56.9,Cool
66,66,Vivid Green,23eaa5,Spring Green,Tertiary,ISCC-NBC System,159,85,91.8,Cool
68,68,Lapiz Lazuli,26619c,Azure,Tertiary,Sewguide,210,75.6,61.2,Cool
69,69,Strong Blue,276cbd,Azure,Tertiary,ISCC-NBC System,212,79.4,74.1,Cool
71,71,Adriatic,285790,Blue,Primary,Sewguide,213,72.2,56.5,Cool
73,73,Jungle Green,29ab87,Spring Green,Tertiary,Sewguide,163,76,67.1,Cool
75,75,Cerulean Blue,2a52be,Blue,Primary,Eggradients,224,77.9,74.5,Cool
76,76,Moderate Greenish Blue,2a7691,Azure,Tertiary,ISCC-NBC System,196,71,56.9,Cool
82,82,Brilliant Greenish Blue,2dbce2,Azure,Tertiary,ISCC-NBC System,193,80.1,88.6,Cool
99,99,Moderate Blue,34689e,Azure,Tertiary,ISCC-NBC System,211,67.1,62,Cool
104,104,Brilliant Bluish Green,35d7ce,Cyan,Tertiary,ISCC-NBC System,177,75.3,84.3,Cool
127,127,Turquoise,40e0d0,Cyan,Tertiary,Sewguide,174,71.4,87.8,Cool
128,128,Turquoise,40e0d0,Cyan,Tertiary,Eggradients,174,71.4,87.8,Cool
129,129,Turquoise,40e0d0,Cyan,Tertiary,Eggradients,174,71.4,87.8,Cool
130,130,Ultramarine,4166f5,Blue,Primary,Sewguide,228,73.5,96.1,Cool
131,131,Royal Blue,4169e1,Blue,Primary,Sewguide,225,71.1,88.2,Cool
132,132,Royal Blue,4169e1,Blue,Primary,Eggradients,225,71.1,88.2,Cool
133,133,Brilliant Blue,419ded,Azure,Tertiary,ISCC-NBC System,208,72.6,92.9,Cool
137,137,Queen Blue,436b95,Blue,Primary,Sewguide,211,55,58.4,Cool
138,138,Verdigris,43b3ae,Spring Green,Tertiary,Sewguide,177,62.6,70.2,Cool
140,140,Vivid Purplish Blue,4436d1,Blue,Primary,ISCC-NBC System,245,74.2,82,Cool
141,141,Bean Blue,44798e,Azure,Tertiary,Sewguide,197,52.1,55.7,Cool
145,145,Steel Blue,4682b4,Azure,Tertiary,Sewguide,207,61.1,70.6,Cool
150,150,Celestial,4997d0,Azure,Tertiary,Sewguide,205,64.9,81.6,Cool
151,151,Brilliant Green,49d0a3,Spring Green,Tertiary,ISCC-NBC System,160,64.9,81.6,Cool
154,154,Fairytale Green,4aab80,Spring Green,Tertiary,Sewguide,153,56.7,67.1,Cool
155,155,Indigo,4b0082,Violet,Secondary,Sewguide,275,100,51,Cool
156,156,Indigo Purple,4b0082,Violet,Secondary,Eggradients,275,100,51,Cool
160,160,Niagara Blue,4c6b80,Blue,Primary,Sewguide,204,40.6,50.2,Cool
163,163,Moderate Purplish Blue,4d4e87,Blue,Primary,ISCC-NBC System,239,43,52.9,Cool
172,172,Strong Purplish Blue,5359b5,Blue,Primary,ISCC-NBC System,236,54.1,71,Cool
179,179,Dark Purple,551a8b,Violet,Secondary,Eggradients,271,81.3,54.5,Cool
180,180,Dark Purple,551a8b,Violet,Secondary,Eggradients,271,81.3,54.5,Cool
190,190,Iris Blue,5a4fcf,Blue,Primary,Sewguide,245,61.8,81.2,Cool
194,194,Moderate Violet,5c4985,Blue,Primary,ISCC-NBC System,259,45.1,52.2,Cool
201,201,Cadet Blue,5f9ea0,Azure,Tertiary,Sewguide,182,40.6,62.7,Cool
202,202,Light Bluish Green,5fabab,Spring Green,Tertiary,ISCC-NBC System,180,44.4,67.1,Cool
204,204,Delphi Blue,608ca8,Azure,Tertiary,Sewguide,203,42.9,65.9,Cool
209,209,Strong Violet,61419c,Blue,Primary,ISCC-NBC System,261,58.3,61.2,Cool
216,216,Cornflower Blue,6593f5,Azure,Tertiary,Sewguide,221,58.8,96.1,Cool
